0,1,2,3
Age,Capital Deposited,Return on Capital,Total Asset Value
20.0,25000.0,0.0,25000.0
21.0,40600.0,1728.0,42328.0
22.0,56806.0,4653.711359999994,61459.711359999994
23.0,73624.06,8901.806609203195,82525.86660920319
24.0,91060.3006,14605.994509231343,105666.29510923135
25.0,109120.903606,21909.64882718143,131030.55243318144
26.0,127812.11264206,30966.48061136293,158778.59325342294
27.0,147140.2337684806,41941.256977039564,189081.49074552016
28.0,167111.63610616542,55010.56961736994,222122.20572353536
29.0,187732.75246722705,70363.65647698072,258096.40894420777
30.0,209010.0799918993,88203.28026320436,297213.3602551037
31.0,230950.1807918183,108746.66772403714,339696.84851585544
32.0,253559.6825997365,132226.51389345306,385786.19649318955
33.0,276845.27942573384,158892.05579506233,435737.3352207962
34.0,300813.73221999116,189010.22040552378,489823.95262551494
35.0,325471.8695421911,222866.85201099928,548338.7215531904
36.0,350826.58823761303,260768.0244447558,611594.6126823688
37.0,376884.85411998915,303041.44407336117,679926.2981933503
38.0,403653.702661189,350037.94980448554,753691.6524656746
39.0,431140.23968780093,402133.116822913,833273.3565107139
40.0,459351.642084679,459728.9712249335,919080.6133096125
41.0,488295.1585055258,523255.8232168938,1011550.9817224196
42.0,517978.11009058106,593174.2270735477,1111152.3371641287
43.0,548407.8911914869,669977.0766183321,1218384.967809819
44.0,579591.9701034017,754191.845593347,1333783.8156967487
45.0,611537.8898044357,846382.9829343064,1457920.872738742
46.0,644253.26870248,947154.4736580083,1591407.7423604883
47.0,677745.8013895048,1057152.5768099655,1734898.3781994702
48.0,712023.2594033999,1177068.7527111126,1889092.0121145125
49.0,747093.491997434,1307642.7925884677,2054736.2845859015
50.0,782964.4269174084,1449666.1645790448,2232630.591496453
51.0,819644.0711865824,1603985.5910632797,2423629.662249862
52.0,857140.5118984482,1771506.87331799,2628647.385216438
53.0,895461.9170174327,1953198.9805841506,2848660.8976015835
54.0,934616.5361876071,2150098.421826373,3084714.9580139797
55.0,974612.7015494832,2363313.9197242986,3337926.621273782
56.0,1015458.8285649781,2594031.407786743,3609490.236351721
57.0,1057163.4168506279,2843519.372923374,3900682.789774002
58.0,1099735.0510191342,3113134.567352554,4212869.618371688
59.0,1143182.4015293256,3404328.1153744045,4547510.51690373
